"state","UsedCarPrice2022","UsedCarPriceComparedToAverage_2022","UsedCarPrice","usedCarPriceComparedToAverage"
"Alabama",34206,1.0185813828836876,24534,0.9928773775799271
"Alaska",40462,1.204871657435531,29656,1.2001618777822745
"Arizona",34413,1.024745399321065,24520,0.9923108053419668
"Arkansas",36343,1.082216663688881,27123,1.0976527721570215
"California",35759,1.0648263950926091,25555,1.0341966815054633
"Colorado",35269,1.0502352450717647,24684,0.9989477944152165
"Connecticut",32991,0.9824012864034304,22528,0.9116956697693241
"Delaware",32924,0.9804061699720088,23469,0.9497774180493728
"District of Columbia",,,,
"Florida",34519,1.027901852182717,25478,1.0310805341966816
"Georgia",36016,1.0724793043892562,25299,1.0238365034399028
"Hawaii",32381,0.9642367935203383,23290,0.9425333872925941
"Idaho",37092,1.1045202787207433,26662,1.0789963577498989
"Illinois",35217,1.048686796498124,24421,0.9883043302306759
"Indiana",32936,0.9807635042582336,21961,0.8887494941319304
"Iowa",35750,1.0645583943779406,23062,0.9333063537029542
"Kansas",35323,1.051843249359776,24357,0.9857142857142858
"Kentucky",34176,1.0176880471681258,22995,0.9305949008498584
"Louisiana",35893,1.0688166279554523,24979,1.0108862808579522
"Maine",33758,1.0052409028646299,24576,0.9945770942938081
"Maryland",33377,0.9938955392769936,23934,0.9685957102387698
"Massachusetts",33232,0.989577749985111,24491,0.9911371914204775
"Michigan",33597,1.000446667857781,23348,0.9448806151355726
"Minnesota",33758,1.0052409028646299,23120,0.9356535815459328
"Mississippi",34130,1.0163182657375975,25788,1.043626062322946
"Missouri",33596,1.0004168900005956,24142,0.9770133549170377
"Montana",38943,1.159639092370913,27303,1.1049372723593687
"Nebraska",35064,1.0441307843487582,23725,0.9601375961149332
"Nevada",34859,1.0380263236257519,25317,1.0245649534601375
"New Hampshire",31833,0.9479185277827408,24104,0.975475515985431
"New Jersey",33936,1.0105413614436305,24329,0.984581141238365
"New Mexico",35189,1.0478530164969329,26261,1.062768110076892
"New York",33246,0.9899946399857066,25693,1.0397814649939296
"North Carolina",34725,1.0340360907629087,24976,1.0107648725212464
"North Dakota",37773,1.1247989994639986,25259,1.022217725617159
"Ohio",32267,0.960842117801203,22244,0.900202347227843
"Oklahoma",35509,1.05738193079626,25128,1.016916228247673
"Oregon",35556,1.0587814900839736,24649,0.9975313638203157
"Pennsylvania",33097,0.9855577392650825,23488,0.950546337515176
"Rhode Island",32789,0.9763861592519802,24962,1.0101983002832862
"South Carolina",35015,1.0426716693466738,24390,0.9870497774180493
"South Dakota",37192,1.107498064439283,25156,1.0180493727235937
"Tennessee",34658,1.0320409743314871,24273,0.9823148522865237
"Texas",35061,1.044041450777202,26620,1.0772966410360179
"Utah",34580,1.029718301471026,24842,1.0053419668150547
"Vermont",31445,0.9363647191948068,24033,0.9726021853500607
"Virginia",33724,1.0042284557203263,22618,0.9153379198704977
"Washington",36119,1.075546423679352,24398,0.9873735329825981
"West Virginia",33761,1.005330236436186,25260,1.0222581950627276
"Wisconsin",34018,1.012983145732833,24315,0.9840145690004047
"Wyoming",41405,1.2329521767613603,29419,1.1905706191825172
"United States",,,24734.68,