Year,"Inflation Rate YOY, From Previous Dec."
1929,0.01
1930,-0.06
1931,-0.09
1932,-0.10
1933,0.01
1934,0.02
1935,0.03
1936,0.01
1937,0.03
1938,-0.03
1939,0.00
1940,0.01
1941,0.10
1942,0.09
1943,0.03
1944,0.02
1945,0.02
1946,0.18
1947,0.09
1948,0.03
1949,-0.02
1950,0.06
1951,0.06
1952,0.01
1953,0.01
1954,-0.01
1955,0.00
1956,0.03
1957,0.03
1958,0.02
1959,0.02
1960,0.01
1961,0.01
1962,0.01
1963,0.02
1964,0.01
1965,0.02
1966,0.04
1967,0.03
1968,0.05
1969,0.06
1970,0.06
1971,0.03
1972,0.03
1973,0.09
1974,0.12
1975,0.07
1976,0.05
1977,0.07
1978,0.09
1979,0.13
1980,0.13
1981,0.09
1982,0.04
1983,0.04
1984,0.04
1985,0.04
1986,0.01
1987,0.04
1988,0.04
1989,0.05
1990,0.06
1991,0.03
1992,0.03
1993,0.03
1994,0.03
1995,0.03
1996,0.03
1997,0.02
1998,0.02
1999,0.03
2000,0.03
2001,0.02
2002,0.02
2003,0.02
2004,0.03
2005,0.03
2006,0.03
2007,0.04
2008,0.00
2009,0.03
2010,0.02
2011,0.03
2012,0.02
2013,0.02
2014,0.01
2015,0.01
2016,0.02
2017,0.02
2018,0.02
2019,0.02
2020,0.01
2021,0.07
2022,0.07
2023,0.03